"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Diakidoy2016_1","ES_79","acc_beliefs",35,33,68,"published","random","not_screened",NA,260,0.16,0.15,0.1,0.1,NA,NA,NA,NA,NA
"Diakidoy2016_1","ES_80","acc_beliefs",35,33,68,"published","random","not_screened",NA,260,7.46,4.52,4.09,3.06,NA,NA,NA,NA,NA
"Diakidoy2016_1","ES_78","acc_beliefs",35,33,68,"published","random","not_screened",NA,260,15.14,14.09,11.82,11.54,NA,NA,NA,NA,NA
"Donovan 2018_1","ES_82","acc_beliefs",36,36,72,"published","random","not_screened",NA,0,7.08,3.72,4.88,3.05,NA,NA,NA,NA,NA
"Donovan 2018_1","ES_83","acc_beliefs",36,36,72,"published","random","not_screened",NA,0,4.61,2.89,2.28,1.51,NA,NA,NA,NA,NA
"Donovan 2018_2","ES_85","acc_beliefs",30,30,60,"published","random","not_screened",NA,0,5.1,3.53,1.74,1.71,NA,NA,NA,NA,NA
"Donovan 2018_2","ES_86","acc_beliefs",30,30,60,"published","random","not_screened",NA,0,4.23,2.73,1.57,1.53,NA,NA,NA,NA,NA
"Frede 2008_1","ES_88","acc_beliefs",20,20,40,"published","non-random","not_screened",28.84,NA,5.8,4.45,1.85,2.33,NA,NA,NA,NA,NA
"Frede 2008_1","ES_89","acc_beliefs",20,20,40,"published","non-random","not_screened",28.84,NA,6.25,4.9,1.97,1.99,NA,NA,NA,NA,NA
"Geller2021_1","ES_94","acc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,3.37,2.83,NA,NA,NA,0.268055580263446,0.0422681579834833,NA,NA
"Geller2021_1","ES_95","acc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,2.53,1.56,NA,NA,NA,0.406797480810719,0.0427507888921615,NA,NA
"Geller2021_1","ES_92","acc_beliefs",48.5,48.5,97,"unpublished","random","not_screened",8.24,21,2.91,2.42,1.18,1.14,NA,NA,NA,NA,NA
"Geller2021_2","ES_93","acc_beliefs",47,47,94,"unpublished","random","not_screened",8.24,21,3.72,2.85,NA,NA,NA,0.628921353563461,0.0453614553907849,NA,NA
"Geller2021_2","ES_96","acc_beliefs",47,47,94,"unpublished","random","not_screened",8.24,21,3.35,1.96,NA,NA,NA,0.701251263280232,0.045873217440168,NA,NA
"Gill2004_1","ES_108","acc_beliefs",74,79,153,"published","random","not_screened",-15.49,NA,3.8,3.73,0.63,0.65,NA,NA,NA,NA,NA
"Gill2020_1","ES_102","acc_beliefs",40,43,83,"published","random","not_screened",-18.38,434,2.57,2.58,0.64,0.71,NA,NA,NA,NA,NA
"Gill2020_1","ES_103","acc_beliefs",40,43,83,"published","random","not_screened",-18.38,434,2.76,2.66,0.64,0.76,NA,NA,NA,NA,NA
"Gill2020_1","ES_105","acc_beliefs",36,39,75,"published","random","not_screened",-18.38,434,2.41,2.42,0.53,0.69,NA,NA,NA,NA,NA
"Gill2020_1","ES_106","acc_beliefs",36,39,75,"published","random","not_screened",-18.38,434,2.68,2.63,0.58,0.58,NA,NA,NA,NA,NA
"Hunsu2016_1","ES_110","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,1.004,0.335,1.127652429,1.26031742,NA,NA,NA,NA,NA
"Hunsu2016_1","ES_111","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,0.75,0.335,1.26031742,1.26031742,NA,NA,NA,NA,NA
"Hunsu2016_1","ES_112","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,3.13,3.2,1.326649916,1.459314908,NA,NA,NA,NA,NA
"Hunsu2016_1","ES_113","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,3.22,3.2,1.525647404,1.459314908,NA,NA,NA,NA,NA
"Hunsu2016_1","ES_114","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,1.054,1.05,0.7959899497,0.8623224455,NA,NA,NA,NA,NA
"Hunsu2016_1","ES_115","acc_beliefs",44,44,88,"unpublished","random","not_screened",-3.14,NA,1.29,1.05,0.8623224455,0.8623224455,NA,NA,NA,NA,NA
"Hynd  1986b_1","ES_120","acc_beliefs",21.5,21.5,43,"published","random","screened",NA,12,2.69,2.54,2.53,1.97,NA,NA,NA,NA,NA
