"study_id","es_id","outcome_types","treatment_n","control_n","total_N","pub_status","random_assignment","sample_screening","rel_text_causal","text_length","treatment_mean","control_mean","treatment_sd","control_sd","t","d","vd","g","vg"
"Cordova2017_1","ES_57","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,4.11,4.14,0.37,0.39,NA,NA,NA,-0.0781277636096003,0.0519897156576656
"Cordova2017_1","ES_58","acc_beliefs",38.5,38.5,77,"unpublished","random","not_screened",-6.11,3,4.1,4.04,0.4,0.4,NA,NA,NA,0.148494141806938,0.0520985620990312
"Dersch 2020_1","ES_63","acc_beliefs",40,48,88,"published","random","not_screened",NA,NA,2.92,2.23,1.41,1.34,NA,NA,NA,0.498446780609934,0.0473077701978331
"Dersch 2020_1","ES_64","acc_beliefs",41,48,89,"published","random","not_screened",NA,NA,2.32,2.23,1.4,1.34,NA,NA,NA,0.0652245587126315,0.0452485281624347
"Dersch 2020_1","ES_69","acc_beliefs",40,48,88,"published","random","not_screened",NA,NA,2.65,2.5,1.1,0.8,NA,NA,NA,0.156862076047919,0.0459793574229208
"Dersch 2020_1","ES_70","acc_beliefs",41,48,89,"published","random","not_screened",NA,NA,2.44,2.5,1.12,0.8,NA,NA,NA,-0.0619297412177827,0.0452460710400117
"Dersch 2020_1","ES_67","acc_beliefs",40,48,88,"published","random","not_screened",NA,NA,1.94,1.59,1.42,1.26,NA,NA,NA,0.259890451335042,0.0462341716566346
"Dersch 2020_1","ES_68","acc_beliefs",41,48,89,"published","random","not_screened",NA,NA,1.77,1.59,1.52,1.26,NA,NA,NA,0.128782803330716,0.0453208475076542
"Diakidoy2003_1","ES_71","acc_beliefs",76,73,149,"published","random","not_screened",NA,517,0.62,0.5,0.18,0.15,NA,NA,NA,0.719261001204102,0.0286373571714002
"Diakidoy2003_1","ES_72","acc_beliefs",76,73,149,"published","random","not_screened",NA,517,0.58,0.45,0.16,0.14,NA,NA,NA,0.859163418153344,0.029397506656488
"Diakidoy2011_1","ES_76","acc_beliefs",31,30,61,"published","random","not_screened",3.33,262,0.16,0.15,0.1,0.1,NA,NA,NA,0.0987224954559777,0.0656765120093653
"Diakidoy2011_1","ES_77","acc_beliefs",31,30,61,"published","random","not_screened",3.33,262,7.32,4.1,3.98,3.4,NA,NA,NA,0.857697912450083,0.0720158821713887
"Diakidoy2011_1","ES_73","acc_beliefs",30,30,60,"published","random","not_screened",3.33,262,17.93,15.57,12.3,12.94,NA,NA,NA,0.184515054222647,0.0669692780393301
"Diakidoy2016_1","ES_79","acc_beliefs",35,33,68,"published","random","not_screened",NA,260,0.16,0.15,0.1,0.1,NA,NA,NA,0.0988585902542648,0.0589505100445498
